"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
11738 -1.420267e-08 0 11.7393
11739 -1.373701e-08 0 11.7403
11740 -1.396984e-08 0 11.7413
11741 -1.373701e-08 0 11.7423
11742 -1.373701e-08 0 11.7433
11743 -1.327135e-08 0 11.7443
11744 -1.350418e-08 0 11.7453
11745 -1.327135e-08 0 11.7463
11746 -1.373701e-08 0 11.7473
11747 -1.373701e-08 0 11.7483
11748 -1.327135e-08 0 11.7493
11749 -1.396984e-08 0 11.7503
11750 -1.420267e-08 0 11.7513
11751 -1.396984e-08 0 11.75231
11752 -1.373701e-08 0 11.75331
11753 -1.396984e-08 0 11.75431
11754 -1.373701e-08 0 11.75531
11755 -1.373701e-08 0 11.75631
11756 -1.396984e-08 0 11.75731
11757 -1.420267e-08 0 11.75831
11758 -1.303852e-08 0 11.75931
11759 -1.420267e-08 0 11.76031
11760 -1.420267e-08 0 11.76131
11761 -1.396984e-08 0 11.76231
11762 -1.420267e-08 0 11.76331
11763 -1.396984e-08 0 11.76431
11764 -1.327135e-08 0 11.76531
11765 -1.350418e-08 0 11.76631
11766 -1.44355e-08 0 11.76731
11767 -1.420267e-08 0 11.76831
11768 -1.373701e-08 0 11.76931
11769 -1.490116e-08 0 11.77031
11770 -1.44355e-08 0 11.77131
11771 -1.420267e-08 0 11.77231
11772 -1.44355e-08 0 11.77331
11773 -1.373701e-08 0 11.77431
11774 -1.44355e-08 0 11.77531
11775 -1.466833e-08 0 11.77631
11776 -1.373701e-08 0 11.77732
11777 -1.420267e-08 0 11.77832
11778 -1.420267e-08 0 11.77932
11779 -1.420267e-08 0 11.78032
11780 -1.350418e-08 0 11.78132
11781 -1.373701e-08 0 11.78232
11782 -1.44355e-08 0 11.78332
11783 -1.466833e-08 0 11.78432
11784 -1.396984e-08 0 11.78532
11785 -1.373701e-08 0 11.78632
11786 -1.420267e-08 0 11.78732
11787 -1.44355e-08 0 11.78832
11788 -1.420267e-08 0 11.78932
11789 -1.466833e-08 0 11.79032
11790 -1.420267e-08 0 11.79132
11791 -1.44355e-08 0 11.79232
