Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;7300;0.1406271;0.05966119
Simu_M005_NbAct100_lift;1;7320;0.1397589;0.05648587
Simu_M005_NbAct100_lift;1;7340;0.1385714;0.04961673
Simu_M005_NbAct100_lift;1;7360;0.1375203;0.04007742
Simu_M005_NbAct100_lift;1;7380;0.1370832;0.02921963
Simu_M005_NbAct100_lift;1;7400;0.1375701;0.01874739
Simu_M005_NbAct100_lift;1;7420;0.1389598;0.01034762
Simu_M005_NbAct100_lift;1;7440;0.1408493;0.005241217
Simu_M005_NbAct100_lift;1;7460;0.1425221;0.004380746
Simu_M005_NbAct100_lift;1;7480;0.143234;0.007962853
Simu_M005_NbAct100_lift;1;7500;0.1431531;0.01519358
Simu_M005_NbAct100_lift;1;7520;0.1426419;0.02495327
Simu_M005_NbAct100_lift;1;7540;0.1420546;0.03580496
Simu_M005_NbAct100_lift;1;7560;0.1416065;0.04612932
Simu_M005_NbAct100_lift;1;7580;0.1413017;0.05430225
Simu_M005_NbAct100_lift;1;7600;0.1410265;0.05897609
Simu_M005_NbAct100_lift;1;7620;0.1405421;0.05946695
Simu_M005_NbAct100_lift;1;7640;0.139611;0.05576396
Simu_M005_NbAct100_lift;1;7660;0.1384134;0.04848504
Simu_M005_NbAct100_lift;1;7680;0.1374209;0.03868534
Simu_M005_NbAct100_lift;1;7700;0.137089;0.02778256
Simu_M005_NbAct100_lift;1;7720;0.1377065;0.01747722
Simu_M005_NbAct100_lift;1;7740;0.1391912;0.009460012
Simu_M005_NbAct100_lift;1;7760;0.1410957;0.004870957
Simu_M005_NbAct100_lift;1;7780;0.1426805;0.004615316
Simu_M005_NbAct100_lift;1;7800;0.1432628;0.008733908
Simu_M005_NbAct100_lift;1;7820;0.143102;0.0163653
Simu_M005_NbAct100_lift;1;7840;0.1425634;0.02636
Simu_M005_NbAct100_lift;1;7860;0.1419842;0.03723409
Simu_M005_NbAct100_lift;1;7880;0.1415563;0.04733646
Simu_M005_NbAct100_lift;1;7900;0.1412679;0.05514585
Simu_M005_NbAct100_lift;1;7920;0.1409771;0.05928295
Simu_M005_NbAct100_lift;1;7940;0.1404419;0.05917794
Simu_M005_NbAct100_lift;1;7960;0.1394615;0.05499101
Simu_M005_NbAct100_lift;1;7980;0.1382639;0.0473076
Simu_M005_NbAct100_lift;1;8000;0.1373326;0.03726983
Simu_M005_NbAct100_lift;1;8020;0.1371149;0.02635014
Simu_M005_NbAct100_lift;1;8040;0.1378591;0.01625123
Simu_M005_NbAct100_lift;1;8060;0.1394358;0.008621765
Simu_M005_NbAct100_lift;1;8080;0.1413412;0.004569844
Simu_M005_NbAct100_lift;1;8100;0.1428063;0.004888826
Simu_M005_NbAct100_lift;1;8120;0.1432747;0.009556842
Simu_M005_NbAct100_lift;1;8140;0.143047;0.01757545
Simu_M005_NbAct100_lift;1;8160;0.1424849;0.02777581
Simu_M005_NbAct100_lift;1;8180;0.1419198;0.03865537
Simu_M005_NbAct100_lift;1;8200;0.1415142;0.04856471
Simu_M005_NbAct100_lift;1;8220;0.1412347;0.05592114
Simu_M005_NbAct100_lift;1;8240;0.1409279;0.05951273
Simu_M005_NbAct100_lift;1;8260;0.1403506;0.05889377
Simu_M005_NbAct100_lift;1;8280;0.1393059;0.05415674
